X,Y,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2
-81.265606,28.811217,,Sanford Dry Cleaners,50,FLD032728032,410335,1816,4,Florida,Sanford,Seminole,NPL Site,-81.265606,28.811217,03/04/2010,09/29/2010,05/20/2015,1172,,,"<a href=""https://semspub.epa.gov/src/document/04/11121077"" target=""_blank"">FLD032728032 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0410335"" target=""_blank"">Sanford Dry Cleaners</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-03-04/pdf/2010-4328.pdf"" target=""_blank"">03/04/2010 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-09-29/pdf/2010-24311.pdf"" target=""_blank"">09/29/2010 (PDF)</a>",,,No,,,,,816
-80.210178,25.831842,,Continental Cleaners,50,FLD982130098,410384,1848,4,Florida,Miami,Miami-Dade,NPL Site,-80.210178,25.831842,09/16/2011,03/15/2012,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121087"" target=""_blank"">FLD982130098 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0410384"" target=""_blank"">Continental Cleaners</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-09-16/pdf/2011-23651.pdf"" target=""_blank"">09/16/2011 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-03-15/pdf/2012-6329.pdf"" target=""_blank"">03/15/2012 (PDF)</a>",,,No,,,,,817
-81.686394,30.354092,,Fairfax St. Wood Treaters,50,FLD000623041,410582,1858,4,Florida,Jacksonville,Duval,Deleted NPL Site,-81.686394,30.354092,03/15/2012,09/18/2012,04/01/2020,1214,06/16/2020,08/18/2020,"<a href=""https://semspub.epa.gov/src/document/04/11121089"" target=""_blank"">FLD000623041 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0410582"" target=""_blank"">Fairfax St. Wood Treaters</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-03-15/pdf/2012-6328.pdf"" target=""_blank"">03/15/2012 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2020-08-18/pdf/2020-16375.pdf"" target=""_blank"">08/18/2020 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-09-18/pdf/2012-22851.pdf"" target=""_blank"">09/18/2012 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2020-06-16/pdf/2020-12692.pdf"" target=""_blank"">06/16/2020 (PDF)</a>",,No,,,,,818
-84.510081,30.592472,,Post and Lumber Preserving Co. Inc.,36.33,FLD004061925,400518,1923,4,Florida,Quincy,Gadsden,NPL Site,-84.510081,30.592472,09/09/2016,08/03/2017,,0,,,"<a href=""https://semspub.epa.gov/src/document/11/196885"" target=""_blank"">FLD004061925 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400518"" target=""_blank"">Post and Lumber Preserving Co. Inc.</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21626.pdf"" target=""_blank"">09/09/2016 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2017-08-03/pdf/2017-16172.pdf"" target=""_blank"">08/03/2017 (PDF)</a>",,,No,,,,,819
151.783722,7.416667,,PCB Wastes,0,FMD980637987,903062,979,9,Federated States of Micronesia,Palikir,Pohnpei,Deleted NPL Site,151.783722,7.416667,12/30/1982,09/08/1983,03/07/1986,10,12/31/1985,03/07/1986,"<a href=""https://semspub.epa.gov/src/document/09/2400284"" target=""_blank"">FMD980637987 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0903062"" target=""_blank"">PCB Wastes</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189621"" target=""_blank"">03/07/1986 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/02/363201"" target=""_blank"">12/31/1985 (PDF)</a>",,No,,,,,820
-81.4858,31.2049,,Hercules 009 Landfill,52.58,GAD980556906,401699,437,4,Georgia,Brunswick,Glynn,NPL Site,-81.4858,31.2049,09/08/1983,09/21/1984,09/24/1999,648,,,"<a href=""https://semspub.epa.gov/src/document/04/11121456"" target=""_blank"">GAD980556906 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401699"" target=""_blank"">Hercules 009 Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,No,,,,,821
-81.993061,33.38945,,Monsanto Corp. (Augusta Plant),35.65,GAD001700699,401299,438,4,Georgia,Augusta,Richmond,Deleted NPL Site,-81.993061,33.38945,09/08/1983,09/21/1984,05/05/1993,165,10/06/1997,03/09/1998,"<a href=""https://semspub.epa.gov/src/document/04/11121457"" target=""_blank"">GAD001700699 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401299"" target=""_blank"">Monsanto Corp. (Augusta Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-03-09/pdf/98-5980.pdf"" target=""_blank"">03/09/1998 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-10-06/pdf/97-26193.pdf"" target=""_blank"">10/06/1997 (PDF)</a>",,No,,,,,822
-83.794439,32.6125,,Powersville Site,35.53,GAD980496954,401668,440,4,Georgia,Peach County,Peach,Deleted NPL Site,-83.794439,32.6125,09/08/1983,09/21/1984,06/30/1993,173,08/31/2010,11/01/2010,"<a href=""https://semspub.epa.gov/src/document/04/11121459"" target=""_blank"">GAD980496954 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401668"" target=""_blank"">Powersville Site</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-08-31/pdf/2010-21442.pdf"" target=""_blank"">11/01/2010 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-08-31/pdf/2010-21441.pdf"" target=""_blank"">08/31/2010 (PDF)</a>",,No,,,,,823
-83.582075,32.619983,,Robins Air Force Base (Landfill #4/Sludge Lagoon),51.66,GA1570024330,401869,441,4,Georgia,Houston County,Houston,NPL Site,-83.582075,32.619983,10/15/1984,07/22/1987,09/30/2004,926,,,"<a href=""https://semspub.epa.gov/src/document/04/11121460"" target=""_blank"">GA1570024330 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401869"" target=""_blank"">Robins Air Force Base (Landfill #4/Sludge Lagoon)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,No,,,,,824
-83.884161,32.549581,,"Woolfolk Chemical Works, Inc.",42.24,GAD003269578,401315,442,4,Georgia,Fort Valley,Peach,NPL Site,-83.884161,32.549581,06/24/1988,08/30/1990,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121461"" target=""_blank"">GAD003269578 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401315"" target=""_blank"">Woolfolk Chemical Works, Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,,825
